iter	Passed	Remaining
0	6	6211
1	11	5798
2	16	5370
3	20	5201
4	26	5196
5	30	5102
6	35	5048
7	40	4992
8	44	4934
9	49	4906
10	54	4916
11	60	4944
12	64	4890
13	69	4928
14	80	5267
15	88	5414
16	93	5397
17	98	5366
18	103	5326
19	108	5305
20	113	5282
21	118	5263
22	123	5235
23	128	5217
24	133	5193
25	138	5171
26	147	5324
27	152	5307
28	158	5298
29	163	5276
30	168	5252
31	173	5249
32	179	5256
33	185	5265
34	190	5253
35	195	5242
36	200	5220
37	205	5205
38	211	5201
39	215	5183
40	221	5189
41	227	5182
42	232	5171
43	238	5186
44	244	5184
45	250	5195
46	255	5189
47	260	5175
48	265	5155
49	270	5140
50	275	5132
51	281	5129
52	286	5127
53	291	5110
54	296	5092
55	300	5071
56	306	5062
57	310	5044
58	315	5038
59	329	5167
60	337	5197
61	342	5180
62	347	5169
63	352	5161
64	358	5150
65	363	5138
66	368	5126
67	372	5106
68	377	5097
69	382	5082
70	387	5072
71	392	5059
72	398	5059
73	403	5054
74	409	5054
75	415	5055
76	421	5052
77	427	5050
78	431	5036
79	436	5023
80	442	5017
81	447	5005
82	451	4992
83	457	4989
84	462	4980
85	467	4969
86	473	4964
87	478	4961
88	484	4957
89	490	4955
90	494	4941
91	499	4930
92	505	4928
93	509	4913
94	515	4912
95	521	4915
96	526	4905
97	531	4896
98	537	4893
99	542	4885
100	547	4875
101	554	4884
102	559	4874
103	565	4869
104	570	4862
105	575	4851
106	580	4846
107	586	4842
108	594	4861
109	600	4856
110	605	4849
111	610	4843
112	616	4836
113	620	4824
114	626	4817
115	640	4879
116	645	4868
117	649	4857
118	654	4847
119	659	4834
120	664	4824
121	668	4813
122	674	4805
123	679	4798
124	684	4790
125	690	4787
126	695	4780
127	700	4771
128	705	4764
129	711	4759
130	716	4750
131	721	4743
132	726	4735
133	732	4730
134	737	4722
135	741	4713
136	747	4710
137	753	4706
138	758	4697
139	763	4687
140	768	4681
141	774	4677
142	779	4668
143	786	4673
144	790	4664
145	795	4653
146	801	4648
147	806	4640
148	811	4633
149	817	4630
150	822	4623
151	827	4614
152	833	4613
153	838	4607
154	843	4599
155	848	4592
156	853	4582
157	858	4576
158	864	4572
159	869	4565
160	874	4557
161	879	4549
162	885	4545
163	890	4538
